ANO;PERIODO;REPRESENTANTE;CLIENTE;DATAFATURAMENTO;DATAVENCIMENTO;DATAPAGAMENTO;NOTA;SERIE;FATURA;TIPO;PARCELA;VALOR;VALID_COM;VALOR_COM_2;Processo da Comissao;Estorno Inadimplecia?
20;5;94035;93572;;15/06/2018;06/05/2020;1388490;1;51993;RH;4;486,76;0,05;24,338;Parcelas Pagamento Legado                                             ; 
20;5;94035;157455;30/01/2020;29/04/2020;12/05/2020;1922283;1;33328001;RI;2;1463,71;0,05;73,1855;Parcelas Pagas no Mês                                                 ; 
20;5;94035;157455;30/01/2020;29/05/2020;12/05/2020;1922283;1;33328001;RI;3;1463,7;0,05;73,185;Parcelas Pagas no Mês                                                 ; 
20;5;94035;90859;05/03/2020;04/05/2020;05/05/2020;1959329;1;35351601;RI;1;77,4;0,05;3,87;Parcelas Pagas no Mês                                                 ; 
20;5;94035;89891;07/10/2019;04/05/2020;13/05/2020;1825247;1;26469401;RI;7;125,06;0,05;6,253;Parcelas Pagas no Mês                                                 ; 
20;5;94035;98889;31/10/2018;29/04/2019;13/05/2020;1575162;1;6313001;RI;5;108,1;0,05;5,405;Parcelas Pagas no Mês                                                 ; 
20;5;94035;98889;31/10/2018;29/05/2019;13/05/2020;1575162;1;6313001;RI;6;233,71;0,05;11,6855;Parcelas Pagas no Mês                                                 ; 
20;5;94035;98889;26/11/2018;25/04/2019;14/05/2020;1590462;1;7566201;RI;5;3,64;0,05;0,182;Parcelas Pagas no Mês                                                 ; 
20;5;94035;98889;26/11/2018;25/05/2019;13/05/2020;1590462;1;7566201;RI;6;11,91;0,05;0,5955;Parcelas Pagas no Mês                                                 ; 
20;5;94035;98823;24/12/2019;22/05/2020;25/05/2020;1893374;1;31565001;RI;4;67,5;0,05;3,375;Parcelas Pagas no Mês                                                 ; 
20;5;94035;98823;15/10/2019;12/05/2020;13/05/2020;1834025;1;27114101;RI;7;1247,29;0,05;62,3645;Parcelas Pagas no Mês                                                 ; 
20;5;94035;94961;13/03/2020;12/05/2020;11/05/2020;1967931;1;35765901;RI;1;684,95;0,05;34,2475;Parcelas Pagas no Mês                                                 ; 
20;5;94035;93734;03/12/2019;31/05/2020;27/05/2020;1876029;1;30351401;RI;5;383,71;0,05;19,1855;Parcelas Pagas no Mês                                                 ; 
20;5;94035;93734;03/12/2019;01/05/2020;13/05/2020;1876029;1;30351401;RI;4;383,72;0,05;19,186;Parcelas Pagas no Mês                                                 ; 
20;5;94035;97123;30/09/2019;27/05/2020;28/05/2020;1819643;1;26068901;RI;7;365,06;0,05;18,253;Parcelas Pagas no Mês                                                 ; 
20;5;94035;97123;30/09/2019;27/05/2020;28/05/2020;1819643;1;26068901;RI;8;365,06;0,05;18,253;Parcelas Pagas no Mês                                                 ; 
20;5;94035;97123;23/12/2019;20/06/2020;19/05/2020;1892366;1;31496801;RI;3;89,4;0,05;4,47;Parcelas Pagas no Mês                                                 ; 
20;5;94035;39415;04/10/2019;02/03/2020;27/05/2020;1824902;1;26446901;RI;4;348,29;0,05;17,4145;Parcelas Pagas no Mês                                                 ; 
20;5;94035;93725;09/03/2020;08/05/2020;12/05/2020;1962657;1;35532201;RI;1;94;0,05;4,7;Parcelas Pagas no Mês                                                 ; 
20;5;94035;93725;25/01/2020;24/04/2020;28/05/2020;1918960;1;33059501;RI;3;2271,2;0,05;113,56;Parcelas Pagas no Mês                                                 ; 
20;5;94035;93725;19/02/2020;19/05/2020;19/05/2020;1943248;1;34511201;RI;3;149,1;0,05;7,455;Parcelas Pagas no Mês                                                 ; 
20;5;94035;93725;19/02/2020;19/04/2020;13/05/2020;1943248;1;34511201;RI;2;149,1;0,05;7,455;Parcelas Pagas no Mês                                                 ; 
20;5;94035;93725;09/03/2020;08/05/2020;12/05/2020;1962657;1;35532201;RI;2;94;0,05;4,7;Parcelas Pagas no Mês                                                 ; 
20;5;94035;93725;25/01/2020;24/05/2020;13/05/2020;1918960;1;33059501;RI;4;2271,2;0,05;113,56;Parcelas Pagas no Mês                                                 ; 
20;5;94035;88800;25/03/2020;24/05/2020;22/05/2020;1975936;1;36183601;RI;1;89;0,05;4,45;Parcelas Pagas no Mês                                                 ; 
20;5;94035;89586;25/03/2020;24/05/2020;25/05/2020;1976216;1;36211601;RI;1;198,77;0,05;9,9385;Parcelas Pagas no Mês                                                 ; 
20;5;94035;99676;21/10/2019;02/05/2020;05/05/2020;1838493;1;27433301;RI;5;17,8;0,05;0,89;Parcelas Pagas no Mês                                                 ; 
20;5;94035;97119;28/08/2019;24/04/2020;20/05/2020;1790060;1;23965401;RI;8;864,79;0,05;43,2395;Parcelas Pagas no Mês                                                 ; 
20;5;94035;98427;23/03/2020;22/05/2020;22/05/2020;1974759;1;36092801;RI;1;89;0,05;4,45;Parcelas Pagas no Mês                                                 ; 
20;5;94035;37513;14/04/2020;14/05/2020;20/05/2020;1979628;1;36322701;RI;1;1118,36;0,05;55,918;Parcelas Pagas no Mês                                                 ; 
20;5;94035;96737;13/03/2020;12/05/2020;13/05/2020;1967143;1;35749301;RI;1;611;0,05;30,55;Parcelas Pagas no Mês                                                 ; 
